0000	-7	154
0000	-7_.	9
00010	-1_	2
00010	-6	83
00010	-4	9
000110	-6b	3
000110	-7b	24
000110	UNK-NUM-DASH	7
000111	0__^	2
000111	-3	9
000111	-5	148
000111	-5_.	12
0010	1	491
001100	1_.	46
001101	0_.	7
001101	0	97
001110	5_.	51
001110	7_.	2
0011110	2_.+	2
0011110	-7__.	2
0011110	3_.	36
0011110	6+	2
00111110	4_.	25
00111111	7_.+	2
00111111	2_.	45
01000	3b+	2
01000	6_.+	2
01000	7b+	3
01000	3+	4
01000	2+	8
01000	5+	9
01000	2_+	10
01000	7+	11
01000	5_+	16
01000	1+	19
01000	1_+	19
010010	7	35
010011	UNK-NUM	11
010011	7_	27
01010	5	464
010110	6	152
010110	6_.	6
0101110	7b_.	2
0101110	7b___	2
0101110	7b__.	2
0101110	6b_	53
0101110	7b_	33
01011110	7b	32
01011111	6b	33
0110	4	506
01110	2	586
011110	3	498
011111	3b_.	14
011111	3b	173
1000	-5_	245
1000	-3_	12
10010	1___.	3
10010	-7b__	10
10010	-7__	18
10010	-7_	120
100110	UNK-LC-NUM-DASH	3
100110	-5__.	9
100110	-4_	12
100110	-6__	21
100110	-6_	68
1001110	-7b_	32
1001111	2b	20
1001111	7b_+	3
10100	1__	256
101010	-4__	6
101010	0___	7
101010	0__	79
1010110	-5___	4
1010110	-3__	7
1010110	1___	27
1010111	6___	3
1010111	-5__	73
10110	1_	799
101110	0_	219
1011110	6_+	2
1011110	-7b__.	3
1011110	1__.+	3
1011110	0__.	4
1011110	7__	5
1011110	2__.	23
1011110	7_+	12
10111110	3__^	2
10111110	2__^	4
10111110	1__.	26
10111111	2___+	2
10111111	1__^	2
10111111	UNK-LC-NUM	4
10111111	-6_.	8
10111111	3__.	13
1100	5_	719
110100	4#_	20
110100	6_	130
110101	4#__	7
110101	7b__	9
110101	6b__	9
110101	6__	31
110101	4#	14
110110	4__	90
110110	4___	6
110111	6__.	2
110111	5___	15
110111	5__.	16
110111	5__	163
11100	2_	652
1110100	1#_	7
1110100	3b__	26
1110101	3___.	2
1110101	3__	144
1110110	2__	168
1110111	1__+	3
1110111	3_+	4
1110111	2___	17
1110111	3___	16
11110	4_	446
111110	2b_	3
111110	3b__.	3
111110	5__+	3
111110	3b_	210
111111	3_	608
111111	4__.	2
