sent=1 sample=0 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=1 ||| proposal=-6.16563 ||| joint=-153.232
sent=1 sample=2 ||| proposal=-4.83108 ||| joint=-158.201
sent=1 sample=3 ||| proposal=-4.60818 ||| joint=-145.384
sent=1 sample=4 ||| proposal=-14.0477 ||| joint=-189.938
sent=1 sample=5 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=6 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=7 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=8 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=9 ||| proposal=-4.99174 ||| joint=-156.604
sent=1 sample=10 ||| proposal=-6.08315 ||| joint=-157.608
sent=1 sample=11 ||| proposal=-7.48047 ||| joint=-163.838
sent=1 sample=12 ||| proposal=-19.9036 ||| joint=-187.81
sent=1 sample=13 ||| proposal=-9.01071 ||| joint=-167.768
sent=1 sample=14 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=15 ||| proposal=-10.9443 ||| joint=-165.8
sent=1 sample=16 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=17 ||| proposal=-7.50764 ||| joint=-155.374
sent=1 sample=18 ||| proposal=-4.70508 ||| joint=-153.175
sent=1 sample=19 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=20 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=21 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=22 ||| proposal=-4.35886 ||| joint=-159.533
sent=1 sample=23 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=24 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=25 ||| proposal=-5.13621 ||| joint=-157.033
sent=1 sample=26 ||| proposal=-4.69693 ||| joint=-149.954
sent=1 sample=27 ||| proposal=-4.69693 ||| joint=-149.954
sent=1 sample=28 ||| proposal=-5.89569 ||| joint=-155.811
sent=1 sample=29 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=30 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=31 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=32 ||| proposal=-4.49646 ||| joint=-162.092
sent=1 sample=33 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=34 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=35 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=36 ||| proposal=-10.4466 ||| joint=-178.185
sent=1 sample=37 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=38 ||| proposal=-9.9116 ||| joint=-172.407
sent=1 sample=39 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=40 ||| proposal=-5.22776 ||| joint=-157.771
sent=1 sample=41 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=42 ||| proposal=-6.95025 ||| joint=-162.46
sent=1 sample=43 ||| proposal=-4.68325 ||| joint=-153.45
sent=1 sample=44 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=45 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=46 ||| proposal=-6.18172 ||| joint=-159.379
sent=1 sample=47 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=48 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=49 ||| proposal=-6.03563 ||| joint=-156.032
sent=1 sample=50 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=51 ||| proposal=-17.7428 ||| joint=-186.825
sent=1 sample=52 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=53 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=54 ||| proposal=-3.87238 ||| joint=-153.357
sent=1 sample=55 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=56 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=57 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=58 ||| proposal=-9.88094 ||| joint=-167.438
sent=1 sample=59 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=60 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=61 ||| proposal=-5.92975 ||| joint=-154.375
sent=1 sample=62 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=63 ||| proposal=-5.45226 ||| joint=-160.683
sent=1 sample=64 ||| proposal=-4.69693 ||| joint=-149.954
sent=1 sample=65 ||| proposal=-13.6419 ||| joint=-184.233
sent=1 sample=66 ||| proposal=-3.87238 ||| joint=-153.357
sent=1 sample=67 ||| proposal=-6.03563 ||| joint=-156.032
sent=1 sample=68 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=69 ||| proposal=-7.48047 ||| joint=-163.838
sent=1 sample=70 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=71 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=72 ||| proposal=-7.37512 ||| joint=-144.579
sent=1 sample=73 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=74 ||| proposal=-5.34063 ||| joint=-158.988
sent=1 sample=75 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=76 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=77 ||| proposal=-4.9668 ||| joint=-148.43
sent=1 sample=78 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=79 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=80 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=81 ||| proposal=-4.60818 ||| joint=-145.384
sent=1 sample=82 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=83 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=84 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=85 ||| proposal=-5.52213 ||| joint=-152.276
sent=1 sample=86 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=87 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=88 ||| proposal=-6.67709 ||| joint=-156.613
sent=1 sample=89 ||| proposal=-5.38648 ||| joint=-144.874
sent=1 sample=90 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=91 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=92 ||| proposal=-23.3227 ||| joint=-189.14
sent=1 sample=93 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=94 ||| proposal=-4.69693 ||| joint=-149.954
sent=1 sample=95 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=96 ||| proposal=-5.35512 ||| joint=-165.274
sent=1 sample=97 ||| proposal=-5.22988 ||| joint=-144.321
sent=1 sample=98 ||| proposal=-0.622538 ||| joint=-137.034
sent=1 sample=99 ||| proposal=-0.622538 ||| joint=-137.034
prob: -137.01669983643 (len=116)
